id_bien;id_commune;numero_voie;btq;type_voie;voie;code_postal;surface_carrez;surface_reelle_bati;nombre_pieces_principales;code_type_local
17946;69388;71;;AV;DES FRERES LUMIERE;69008;46.71;49;1;2
17947;72132;11;;AV;DU 8 MAI 1945;72400;29.25;28;1;2
17948;73015;6125;;;FERMES DU CHANT L'OISEAU;73550;88.7;89;4;2
17949;73065;35;;RUE;MICHAUD;73000;60.29;57;2;2
17950;75101;5;;RUE;DE TURBIGO;75001;51.6;52;3;2
17951;75108;86;;RUE;LA BOETIE;75008;16.29;16;1;2
17952;75111;56;;BD;VOLTAIRE;75011;51.24;53;3;2
17953;75111;24;;PAS;THIERE;75011;64.05;64;3;2
17954;75113;46;;RUE;JEANNE D ARC;75013;59.75;62;3;2
17955;75114;99;;AV;DU MAINE;75014;40.3;40;2;2
17956;75115;40;;RUE;DE VOUILLE;75015;14.91;14;1;2
17957;75115;30;;RUE;BARGUE;75015;31.93;31;2;2
17958;75116;21;;RUE;DESBORDES VALMORE;75016;60.73;75;3;2
17959;75117;19;;RUE;DESCOMBES;75017;48.6;47;3;2
17960;75118;10;;RUE;SQUARE CARPEAUX;75018;30.13;30;1;2
17961;75118;9;;RUE;VAUVENARGUES;75018;9.19;10;1;2
17962;76498;108;B;RUE;PIERRE SEMARD;76140;77.82;80;4;1
17963;77152;84;;ALL;DU SEQUOIA;77190;34.91;34;2;2
17964;77441;37;;QUAI;FRANKLIN ROOSEVELT;77920;32.13;32;2;2
17965;78418;5;;RUE;FELICIEN LESAGE;78360;34.19;33;2;2
17966;78621;56;;RUE;JEAN JAURES;78190;24.01;24;1;2
17967;78646;57;;RUE;EXELMANS;78000;43.06;43;2;2
17968;83009;1390;;BD;DES GRAVIERS;83150;31.16;30;1;2
17969;83016;139;;CHE;DE LA BERENGUIERE;83330;74.6;110;4;2
17970;83023;166;;CHE;SAINT PIERRE;83170;37.81;38;2;2
17971;83069;5;;RUE;GEORGES AURIC;83400;27.88;27;1;2
17972;83071;22;;RUE;CARNOT;83250;30.19;31;1;2
17973;83126;47;;AV;ANTONIO GRAMSCI;83500;43.96;43;2;2
17974;91432;14;T;RUE;DU GENERAL LECLERC;91420;48.7;47;2;2
17975;92002;122;;RUE;DE MASSY;92160;43.24;44;2;2
17976;92049;68;;AV;VERDIER;92120;18.05;18;1;2
17977;92050;41;;RUE;HENRI BARBUSSE;92000;43.51;32;3;2
17978;92073;26;;AV;EDOUARD VAILLANT;92150;72.4;70;3;2
17979;93001;132;;RUE;HENRI BARBUSSE;93300;75.98;76;4;2
17980;93071;30;;AV;BERLIOZ;93270;79.64;80;4;2
17981;94044;4;;RUE;MADELEINE BRES;94450;85.2;85;4;2
17982;94046;7;;RUE;MERCURE;94700;56.14;53;3;2
17983;95127;6;;RUE;DES AUBEVOYS;95800;78.99;78;4;2
17984;95313;3;;RUE;DE NOGENT;95290;32;48;2;2
17985;973307;79;;IMP;DES OEILLETS D'INDE;97351;115.94;114;4;1
17986;01033;76;;RUE;COLONEL XAVIER RENDU;01200;54.7;54;2;2
