id_commune;population_municipale;population_comptee_a_part;population_totale
02464;365;2;367
02465;513;7;520
02466;133;0;133
02467;51;1;52
02468;2235;29;2264
02469;485;13;498
02470;435;12;447
02471;135;2;137
02472;409;7;416
02473;215;1;216
02474;392;4;396
02476;669;14;683
02477;964;21;985
02478;261;8;269
02480;312;3;315
02481;473;16;489
02482;54;1;55
02483;513;10;523
02484;527;3;530
02485;94;4;98
02486;107;1;108
02487;627;9;636
02488;156;2;158
02489;342;7;349
02490;126;3;129
02491;324;9;333
02492;454;8;462
02493;224;6;230
02494;127;2;129
02495;1046;15;1061
02496;100;1;101
02497;1154;29;1183
02498;763;13;776
02499;43;2;45
02500;810;19;829
02501;93;2;95
02502;1324;9;1333
02503;831;2;833
02504;1616;28;1644
02505;206;5;211
02506;195;6;201
02507;31;1;32
02508;151;6;157
02509;156;0;156
02510;151;2;153
02511;295;4;299
02512;270;5;275
02513;138;2;140
02514;704;15;719
02515;55;6;61
02516;67;1;68
02517;299;5;304
02518;303;3;306
02519;186;4;190
02520;741;7;748
02521;1364;14;1378
02522;74;2;76
02523;72;1;73
02524;694;15;709
02525;577;13;590
02526;99;3;102
02527;458;9;467
02528;228;5;233
02529;178;1;179
02530;78;1;79
02531;118;1;119
02532;986;18;1004
02533;111;8;119
02534;48;1;49
02535;113;5;118
02536;103;1;104
02537;202;1;203
02538;70;0;70
02539;702;8;710
02540;1227;36;1263
02541;421;6;427
02542;82;2;84
02543;2066;34;2100
02544;616;14;630
02545;187;2;189
02546;193;4;197
02547;66;1;67
02548;377;7;384
02549;846;25;871
02550;115;3;118
02551;115;0;115
02552;187;9;196
02553;244;4;248
02554;1071;22;1093
02555;2108;46;2154
02556;81;1;82
02557;127;0;127
02558;2557;28;2585
02559;462;4;466
02560;246;4;250
02561;153;4;157
02562;212;2;214
02563;164;3;167
02564;495;5;500
02565;291;3;294
02566;1104;23;1127
02567;279;8;287
02568;162;4;166
02569;471;3;474
02570;177;0;177
02571;717;75;792
02572;502;9;511
02573;60;1;61
02574;1432;28;1460
02575;1670;14;1684
02576;330;8;338
02577;90;1;91
02578;86;1;87
02579;125;9;134
02580;816;10;826
02581;323;1;324
02582;76;2;78
02583;54;2;56
02584;121;6;127
02585;259;7;266
02586;139;6;145
02587;355;7;362
02588;68;2;70
02589;261;0;261
02590;169;4;173
02591;135;1;136
02592;192;4;196
02593;1064;21;1085
02594;132;6;138
02595;133;0;133
02596;763;15;778
02598;669;18;687
02599;255;3;258
02600;347;5;352
02601;197;2;199
02602;1698;27;1725
02604;84;1;85
02605;192;5;197
02606;70;3;73
02607;78;3;81
02608;473;2;475
02609;20;0;20
02610;736;11;747
02612;127;1;128
02613;605;11;616
02614;265;7;272
02615;360;5;365
02616;211;3;214
02617;508;4;512
02618;694;12;706
02619;658;0;658
02620;347;9;356
02621;379;15;394
02622;54;0;54
02623;97;3;100
02624;275;66;341
02625;142;2;144
02626;334;7;341
02627;123;3;126
02628;217;6;223
02629;311;12;323
02631;411;5;416
02632;57;1;58
02633;60;0;60
02634;82;4;86
02635;146;5;151
